2.0181e+05	3509
3509	2.6307e+05
2.6307e+05	65951
65951	2.141e+05
2.141e+05	12821
12821	2.6294e+05
2.6294e+05	49877
49877	1.9772e+05
1.9772e+05	287
287	2.6315e+05
2.6315e+05	66031
66031	2.1896e+05
2.1896e+05	16623
16623	2.6302e+05
2.6302e+05	54741
54741	2.0258e+05
2.0258e+05	4207
4207	2.6309e+05
2.6309e+05	65967
65967	2.1487e+05
2.1487e+05	13589
13589	2.6296e+05
2.6296e+05	50645
50645	1.9848e+05
1.9848e+05	901
901	2.6312e+05
2.6312e+05	65999
65999	2.1794e+05
2.1794e+05	16591
16591	2.6299e+05
2.6299e+05	53717
53717	2.0156e+05
2.0156e+05	3253
3253	2.6306e+05
2.6306e+05	65935
65935	2.1384e+05
2.1384e+05	12565
12565	2.6293e+05
2.6293e+05	49621
49621	1.9746e+05
1.9746e+05	79
79	2.6316e+05
2.6316e+05	66039
66039	2.1916e+05
2.1916e+05	16631
16631	2.6303e+05
2.6303e+05	54933
54933	2.0277e+05
2.0277e+05	4215
4215	2.631e+05
2.631e+05	65975
65975	2.1506e+05
2.1506e+05	13781
13781	2.6297e+05
2.6297e+05	50837
50837	1.9868e+05
1.9868e+05	1079
1079	2.6313e+05
2.6313e+05	66007
66007	2.1813e+05
2.1813e+05	16599
16599	2.63e+05
2.63e+05	53909
53909	2.0175e+05
2.0175e+05	3445
3445	2.6306e+05
2.6306e+05	65943
65943	2.1404e+05
2.1404e+05	12757
12757	2.6294e+05
2.6294e+05	49813
49813	1.9765e+05
1.9765e+05	237
237	2.6314e+05
2.6314e+05	66023
66023	2.189e+05
2.189e+05	16615
16615	2.6302e+05
2.6302e+05	54677
54677	2.0252e+05
2.0252e+05	4199
4199	2.6308e+05
2.6308e+05	65959
65959	2.148e+05
2.148e+05	13525
13525	2.6295e+05
2.6295e+05	50581
50581	1.9842e+05
1.9842e+05	837
837	2.6311e+05
2.6311e+05	65991
65991	2.1788e+05
2.1788e+05	16583
16583	2.6298e+05
